screen_name,followers,rt,text
,,0,b'RT @gp_pulipaka: Must-Have Applications for Data Science.  #BigData #Analytics #DataScience #AI #MachineLearning #IoT #IIoT #PyTorch #Pytho\\u2026'
,,0,b'RT @KirkDBorne: How #AI and a Clinical Data Revolution saved @Intermountain Healthcare System $90 Million in under 5 Years: https://t.co/9P\\u2026'
,,0,b'RT @lebigdata_fr: Le CEO d\\u2019AWS assure que son Cloud \\xe0 2 ans d\\u2019avance sur Microsoft #bigdata https://t.co/XJkGlT96oX https://t.co/pdYWgAzIqD'
,,0,b'RT @KirkDBorne: How #AI and a Clinical Data Revolution saved @Intermountain Healthcare System $90 Million in under 5 Years: https://t.co/9P\\u2026'
,,0,b'RT @ipfconline1: Top ways to manage #cloud complexity [Video]\\n\\nhttps://t.co/aTO41xceU1 via @ZDNet &amp; @TonyaHallRadio\\n#CloudComputing #BigDat\\u2026'
,,0,"b""RT @hacking_future: Cybersecurity is heading into a recruitment crisis: Here's how we fix the problem https://t.co/ZR1TYLliRg #cybersecurit\\u2026"""
,,0,b'RT @gp_pulipaka: Must-Have Applications for Data Science.  #BigData #Analytics #DataScience #AI #MachineLearning #IoT #IIoT #PyTorch #Pytho\\u2026'
,,0,"b'RT @arjenvanberkum: #Communication is key in #digitaltransformation, read about why. \\xbb https://t.co/CEzGbt9NKi\\n\\n#IoT #Cloud #BigData #Trans\\u2026'"
,,0,b'RT @lorenatoda: 20 years from now best solutions will be calculated automatically mixing solutions between patients and doctors. #bigdata #\\u2026'
,,0,b'RT @MikeQuindazzi: 10 #EmergingTechnologies Disrupting #DigitalMarketing &gt;&gt;&gt; @Spiralytics via @MikeQuindazzi &gt;&gt;&gt; #AI #BigData #DataScience\\u2026'
,,0,b'Potential competitive advantage increases with more sophisticated #analytics |  #Data #BigData #ML #datadriven https://t.co/xCUMGSVg46'
,,0,b'RT @KirkDBorne: How #AI and a Clinical Data Revolution saved @Intermountain Healthcare System $90 Million in under 5 Years: https://t.co/9P\\u2026'
,,0,"b'RT @arjenvanberkum: #Communication is key in #digitaltransformation, read about why. \\xbb https://t.co/CEzGbt9NKi\\n\\n#IoT #Cloud #BigData #Trans\\u2026'"
,,0,b'Young entrepreneur order your #BP from  @gfaccord #bigdata &amp; #AI powered #global #business #consulting for #speed t\\u2026 https://t.co/eK4gvfUOLc'
,,0,b'RT KirkDBorne: How #AI and a Clinical Data Revolution saved Intermountain Healthcare System $90 Million in under 5\\u2026 https://t.co/bM9ugrsIJs'
,,0,b'RT @KirkDBorne: How #AI and a Clinical Data Revolution saved @Intermountain Healthcare System $90 Million in under 5 Years: https://t.co/9P\\u2026'
,,0,"b""This looks very interesting @UCLanLaw. Unfortunately, I can't make it due to other commitments."""
,,0,b'RT @MikeQuindazzi: 10 #EmergingTechnologies Disrupting #DigitalMarketing &gt;&gt;&gt; @Spiralytics via @MikeQuindazzi &gt;&gt;&gt; #AI #BigData #DataScience\\u2026'
,,0,"b'RT @RichardEudes: Researchers develop AI that classifies seizures using less data https://t.co/cRbOi4MTQM #analytics, #artificialintelligen\\u2026'"
,,0,b'RT @campussanofi: \\xbfC\\xf3mo influye el #BigData en el sector salud? https://t.co/d2840gRJvR #CampusSanofi #eHealth #eBook #m\\xe9dico #paciente htt\\u2026'
,,0,b'#NowHiring: #Technical Product Manager Artificial Intelligence (AI)\\n#AI #BigData #Boston #Robotics #Artificial Inte\\u2026 https://t.co/2Vt9MU9A5f'
,,0,b'RT @gp_pulipaka: Must-Have Applications for Data Science.  #BigData #Analytics #DataScience #AI #MachineLearning #IoT #IIoT #PyTorch #Pytho\\u2026'
,,0,b'How to Support the Widespread Adoption of #AI. \\n#AI has the potential to boost global #economy by  $13 - $15 trilli\\u2026 https://t.co/WT7KcULgtn'
,,0,b'Le CEO d\\u2019AWS assure que son Cloud \\xe0 2 ans d\\u2019avance sur Microsoft #bigdata https://t.co/oDiJX0BJjk https://t.co/cV5ZBSZZJH'
,,0,b'RT @KirkDBorne: #PredictiveAnalytics and Insights Discovery are Made For Each Other: https://t.co/OOKmMDL7ER by @BoozAllen \\n\\u2014\\u2014\\u2014\\u2014\\u2014\\u2014\\u2014\\n#BigDat\\u2026'
,,0,b'RT @iot_business: Le CEO d\\u2019AWS assure que son Cloud \\xe0 2 ans d\\u2019avance sur Microsoft #bigdata https://t.co/oDiJX0BJjk https://t.co/cV5ZBSZZJH'
,,0,b'A 10-point plan to reboot the #data industrial complex for the common good  https://t.co/CiRkmp7s3u\\xa0 #DataScience\\u2026 https://t.co/aLGkp03J75'
,,0,b'RT @KirkDBorne: How #AI and a Clinical Data Revolution saved @Intermountain Healthcare System $90 Million in under 5 Years: https://t.co/9P\\u2026'
,,0,"b'RT @Inra_France: [#Lauriers2019] Christine Cherbut, DG d\\xe9l\\xe9gu\\xe9e #Inra remet \\xe0 Pascal Neveu le laurier #Innovation pour la recherche. Un vir\\u2026'"
,,0,b'#Hiring: #Sr. Big Data Engineer\\n#AI #BigData #Developer #Hillsboro #Robotics #BigData #jobs\\n\\u2611 Apply Now \\u261e\\u2026 https://t.co/nLBZtGfckU'
,,0,b'RT @iamconniesmith1: How to repurpose old #content:\\n\\n#SMM #SEOTools #SEMrush #ContentMarketing #Infographics  #SocialMediaMarketing #Social\\u2026'
,,0,b'If you keep growing immensely at all costs while your conscience shrinks you shouldn\\u2019t exist as a company in the ha\\u2026 https://t.co/5LB4MBZKsu'
,,0,b'RT @xfxie: What can #BikeSharing System Data Tell Us about #Operations: Case Study of #CorralService \\n\\nhttps://t.co/vUSRrrnVFF \\n\\n#bikeshare\\u2026'
,,0,b'RT @ipfconline1: Most Disruptive Techs of 2020\\n\\U0001f447\\n#Automation\\n#IoT\\nDigital Twinning\\nTrust in Digital Interactions...\\nMore \\U0001f449https://t.co/6bXm\\u2026'
